Phi,Theta,E_deloc
30,130,2.803566010642334
30,140,2.323965839244793
30,150,1.8157361344557057
30,160,1.4167591978890872
30,170,1.2255924087760883
30,180,1.2783432627289153
30,190,1.4649065830684564
30,200,1.671837402099882
30,210,1.8756697701214804
30,220,2.1372724362955093
30,230,2.5632517125813004
30,240,3.122769422203543
30,250,3.6960316498272388
30,260,4.068812281879102
30,270,4.102456365008885
30,280,3.736985083380619
30,290,3.1025871641213634
30,300,2.4073226915300867
30,310,1.8597002310387103
30,320,1.5940832011031663
30,330,1.5069313626221936
30,340,1.4277084769335733
30,350,1.21333220081758
0,0,-0.14481947636206882
0,10,-0.07174404527854562
0,20,0.1904593354858913
0,30,0.6056512928279878
0,40,1.0944895261322447
0,50,1.6417959733370562
0,60,2.1884467990665866
0,70,2.701702976495522
0,80,3.074050062555674
0,90,3.244675972133224
0,100,3.1520116552951642
0,110,2.8276283450540003
0,120,2.3416790375372947
0,130,1.760127416296356
0,140,1.1744504253695398
0,150,0.6261530785238638
0,160,0.20543741048956327
0,170,-0.05139091629091797
0,180,-0.07134294143013609
0,190,0.10345816184914247
0,200,0.43651753700159046
0,210,0.8551785523444866
0,220,1.2973199505141786
0,230,1.7591611150905837
0,240,2.2087146496554295
0,250,2.620732164495488
0,260,2.899419767331732
0,270,2.981284842467166
0,280,2.8078700946565105
0,290,2.4364608207953107
0,300,1.9749575698088098
0,310,1.5075849131827272
0,320,1.083980130953219
0,330,0.6845029442372903
0,340,0.3175038664239788
0,350,0.00364651768106819
5,0,0.05661587001156249
5,10,0.11969326298562123
5,20,0.4032425544576048
5,30,0.8537833489213187
5,40,1.37424966733748
5,50,1.925360701538405
5,60,2.4486486144388517
5,70,2.926825093335066
5,80,3.2688671342925844
5,90,3.423752168689058
5,100,3.3344555672212843
5,110,3.029743409179167
5,120,2.5700370301164956
5,130,2.008558794227517
5,140,1.4285108098312391
5,150,0.8684727698413642
5,160,0.42922393712988094
5,170,0.16495078090987478
5,180,0.1534520549885732
5,190,0.3399666176953167
5,200,0.6699397154265997
5,210,1.0774153827817783
5,220,1.5099143521269813
5,230,1.9802541849985322
5,240,2.4508688038375745
5,250,2.8858307459997756
5,260,3.1753117546810543
5,270,3.2482790033154942
5,280,3.0464392901667687
5,290,2.6319569827100535
5,300,2.1283197651890378
5,310,1.638895124790573
5,320,1.2238384581994284
5,330,0.8611623526066778
5,340,0.5276119517894189
5,350,0.22596523789023626
10,0,0.7411028127958958
10,10,0.7945520213061964
10,20,1.0965153762083266
10,30,1.5828459581135108
10,40,2.1324133829414107
10,50,2.6816403214625186
10,60,3.1755050274066234
10,70,3.6121308097074087
10,80,3.9195307143958673
10,90,4.056744216842281
10,100,3.9712260979583913
10,110,3.6868882160046534
10,120,3.254753703756292
10,130,2.716195610719564
10,140,2.1457735516073195
10,150,1.5812591132854368
10,160,1.1306002845997953
10,170,0.864858255208889
10,180,0.8608716905297551
10,190,1.0572746029197426
10,200,1.3793304822099488
10,210,1.7688519249465766
10,220,2.1857201470596688
10,230,2.6603426033074804
10,240,3.1494768953088648
10,250,3.6073166234857204
10,260,3.9058830210221758
10,270,3.968700060583111
10,280,3.7372818949949753
10,290,3.281117804158091
10,300,2.7387125160298855
10,310,2.230841244500429
10,320,1.8319371617001834
10,330,1.5092609898314246
10,340,1.2126324025623645
10,350,0.9235709464844751
15,0,1.9144852803639494
15,10,1.959541054066703
15,20,2.2796025843132615
15,30,2.8020941881532524
15,40,3.3773847129410344
15,50,3.918507121781971
15,60,4.374659226938473
15,70,4.761638944455367
15,80,5.029078887805518
15,90,5.146997806173636
15,100,5.066131097857321
15,110,4.803631909582185
15,120,4.401152029459082
15,130,3.8895325838668624
15,140,3.33344465014087
15,150,2.7726125603416034
15,160,2.319580492461728
15,170,2.060159047547073
15,180,2.065504984950506
15,190,2.2677906685093343
15,200,2.575606235300794
15,210,2.9371548327182286
15,220,3.3304537541491017
15,230,3.8030558195057895
15,240,4.308928412325163
15,250,4.790401886233452
15,260,5.09907149251686
15,270,5.151241963355368
15,280,4.888660508493044
15,290,4.391768008833193
15,300,3.813341633366786
15,310,3.2908449467291123
15,320,2.91559205466832
15,330,2.637820301305615
15,340,2.383796625946219
15,350,2.1086764118583536
20,0,3.585757673300106
20,10,3.618620131324249
20,20,3.9559871048180044
20,30,4.51500092469162
20,40,5.1130080281678145
20,50,5.639469693146484
20,60,6.047347844983683
20,70,6.375263591535111
20,80,6.597047862359442
20,90,6.694160402273873
20,100,6.619540797022394
20,110,6.381815162014233
20,120,6.012257415989326
20,130,5.532332006749381
20,140,4.996021588085878
20,150,4.446414818374656
20,160,4.0008457778595545
20,170,3.756116640404355
20,180,3.773903069207202
20,190,3.976901352112272
20,200,4.2622935749377895
20,210,4.584020137477548
20,220,4.944479442084465
20,230,5.40802498405141
20,240,5.930267466742055
20,250,6.437440634543768
20,260,6.760660480281863
20,270,6.803355941581632
20,280,6.507662280043455
20,290,5.969591886966081
20,300,5.355768795505392
20,310,4.822323457325595
20,320,4.477180329719911
20,330,4.252028594426363
20,340,4.047833589036243
20,350,3.789138485669722
25,0,5.763235928799886
25,10,5.784137688754309
25,20,6.138116080390205
25,30,6.733684433097219
25,40,7.3524371097912224
25,50,7.856808324446283
25,60,8.204237906656262
25,70,8.462669079717774
25,80,8.632664468128615
25,90,8.70796987796163
25,100,8.642494459307287
25,110,8.434650928385482
25,120,8.103039906662866
25,130,7.660016984098065
25,140,7.149408204328492
