Phi,Theta,E_deloc
20,170,1.1493610464389212
20,180,1.0334891876697117
20,190,1.0097865411657072
20,200,1.1212751241379388
20,210,1.405371540528241
20,220,1.9104146293693076
20,230,2.5931164342957285
20,240,3.401178598902261
20,250,4.167114076030235
20,260,4.788254362336125
20,270,5.079618462022847
20,280,4.971178192792786
20,290,4.506509974618478
20,300,3.7984261208338976
20,310,3.029626127375092
20,320,2.3049707020624948
20,330,1.711376555616053
20,340,1.2336356931269201
20,350,0.9315238071454255
25,0,1.1186924225715407
25,10,1.2721737819062373
25,20,1.578665430070974
25,30,1.9142670324593152
25,40,2.2503994447758546
25,50,2.5952276881141207
25,60,3.0249708263071295
25,70,3.478847019412694
25,80,3.904651848043831
25,90,4.167903105892056
25,100,4.167488636157689
25,110,3.8765271458684767
25,120,3.347101253891181
25,130,2.7470167817242412
25,140,2.1940252910147797
25,150,1.8142614879206285
25,160,1.5548261121824063
25,170,1.4140288427906844
25,180,1.3104982039904813
25,190,1.279189269748301
25,200,1.3655745433230442
25,210,1.616704209597829
25,220,2.09123567714681
25,230,2.755640638025085
25,240,3.56219075678444
25,250,4.3418110756971355
25,260,4.9779064697495885
25,270,5.282319368661309
25,280,5.177380536653898
25,290,4.701279418027094
25,300,3.9671766569859526
25,310,3.177253455520177
25,320,2.4471410864517473
25,330,1.8710491069557151
25,340,1.4309242717415127
25,350,1.1779759589397827
30,0,1.4858399062633698
30,10,1.6950424964436506
30,20,2.027296840281321
30,30,2.3401125240426315
30,40,2.6065398561415942
30,50,2.8575807926119148
30,60,3.199778769761675
30,70,3.593420624587344
30,80,3.9877999282380965
30,90,4.244769632884888
30,100,4.253326408355499
30,110,3.9723637715863944
30,120,3.4549685446917633
30,130,2.8717508874820044
30,140,2.358758577293947
30,150,2.034909591094094
30,160,1.836163246014834
30,170,1.7399025499761334
30,180,1.652074633342943
30,190,1.6068195626493726
30,200,1.6564847036906076
30,210,1.860661824906661
30,220,2.2915278907074805
30,230,2.928644241378793
30,240,3.7321481180954597
30,250,4.528486783022688
30,260,5.185348960029795
30,270,5.504752358506258
30,280,5.401655641728343
30,290,4.9098665476681145
30,300,4.144983904507369
30,310,3.3328647687573527
30,320,2.6004082771465513
30,330,2.050779105615209
30,340,1.6605911225340069
30,350,1.4730645134423448
0,0,-477666.26349833125
0,10,-477666.31527635746
0,20,-477666.13370324025
0,30,-477665.78104951966
0,40,-477665.2622071946
0,50,-477664.6354249128
0,60,-477663.91423201945
0,70,-477663.2370989175
0,80,-477662.6671412778
0,90,-477662.3730661503
0,100,-477662.41108660685
0,110,-477662.7578190268
0,120,-477663.326139119
0,130,-477663.9754666069
0,140,-477664.617179273
0,150,-477665.13619849295
0,160,-477665.54373785254
0,170,-477665.79921408556
0,180,-477665.94589946006
0,190,-477665.9845404602
0,200,-477665.8764063524
0,210,-477665.5913162753
0,220,-477665.0868853218
0,230,-477664.415208975
0,240,-477663.6303891164
0,250,-477662.9035982151
0,260,-477662.32554878434
0,270,-477662.0826035297
0,280,-477662.2023766744
0,290,-477662.62799350143
0,300,-477663.2326169971
0,310,-477663.89095927967
0,320,-477664.5406005216
0,330,-477665.11003576027
0,340,-477665.62676174846
0,350,-477666.014228476
5,0,-477666.0447753003
5,10,-477666.04337030725
5,20,-477665.8331424932
5,30,-477665.47306973423
5,40,-477664.9726045121
5,50,-477664.38298977655
5,60,-477663.7062888399
5,70,-477663.0642644902
5,80,-477662.5169241574
5,90,-477662.2325947467
5,100,-477662.26779116155
5,110,-477662.6053469527
5,120,-477663.1696507989
5,130,-477663.8171575694
5,140,-477664.4546086338
5,150,-477664.96250362514
5,160,-477665.35875547834
5,170,-477665.60121541785
5,180,-477665.73997642007
5,190,-477665.7702061644
5,200,-477665.6485484846
5,210,-477665.3468998255
5,220,-477664.82706201996
5,230,-477664.1423169201
5,240,-477663.3470298973
5,250,-477662.61112700065
5,260,-477662.0216523252
5,270,-477661.76636164665
5,280,-477661.88447126513
5,290,-477662.32411662035
5,300,-477662.9566464457
5,310,-477663.6475325368
5,320,-477664.32482031983
5,330,-477664.9138838511
5,340,-477665.43473451905
5,350,-477665.81034264393
10,0,-477665.31324563926
10,10,-477665.28493569605
10,20,-477665.0481882221
10,30,-477664.6841801657
10,40,-477664.2106073437
10,50,-477663.66653087386
10,60,-477663.0398263403
10,70,-477662.43625781266
10,80,-477661.9147806399
10,90,-477661.63886556023
10,100,-477661.6679157127
10,110,-477661.99390412826
10,120,-477662.55286931637
10,130,-477663.19344261434
10,140,-477663.8208192099
10,150,-477664.3103028992
10,160,-477664.6882545192
10,170,-477664.9146651629
10,180,-477665.0465527454
10,190,-477665.070609809
10,200,-477664.94217647525
10,210,-477664.63341845275
10,220,-477664.1068383142
10,230,-477663.41517549235
10,240,-477662.61249246035
10,250,-477661.867622209
10,260,-477661.26821230917
10,270,-477661.00074387674
10,280,-477661.11631842185
10,290,-477661.5656043863
10,300,-477662.2244912835
10,310,-477662.94481940696
10,320,-477663.643347993
10,330,-477664.24316527165
10,340,-477664.76033829775
10,350,-477665.12041488424
15,0,-477664.09576836496
15,10,-477664.0190504326
15,20,-477663.7581145572
15,30,-477663.3961197381
15,40,-477662.95810596854
15,50,-477662.46868377546
15,60,-477661.8981571733
15,70,-477661.3381011868
15,80,-477660.84613494633
15,90,-477660.57586368284
15,100,-477660.59605786373
15,110,-477660.9095699566
15,120,-477661.46130410745
15,130,-477662.09120642685
15,140,-477662.7018619785
15,150,-477663.1643631572
15,160,-477663.51398299664
15,170,-477663.71900844737
15,180,-477663.8438612776
