,Phi,Theta,E_deloc,E_nonbond
244,5,310,-1388.2241325527998,-1366.0727629633002
3,10,310,-1388.2226531360998,-1366.0728275378
259,15,310,-1388.2202393297,-1366.0729611286
126,20,310,-1388.2168589494,-1366.0731840022
310,25,310,-1388.2125312287997,-1366.0734836742001
215,30,310,-1388.2072961517,-1366.0738146038
43,40,310,-1388.1940383107,-1366.0745584413
352,50,310,-1388.1771019559,-1366.0751728760997
148,60,310,-1388.1565065092002,-1366.0750096643999
92,0,320,-1388.2262774688,-1366.0708947320002
242,5,320,-1388.2258586988999,-1366.0708079312
25,10,320,-1388.2244316518002,-1366.0708338832999
282,15,320,-1388.2220616308,-1366.0709252548
110,20,320,-1388.2187210706,-1366.0710988473
315,25,320,-1388.2144343889997,-1366.0713390271
193,30,320,-1388.2092449912004,-1366.0715983726998
60,40,320,-1388.1960946905003,-1366.0721627781998
338,50,320,-1388.1793313797,-1366.07250319
166,60,320,-1388.1590547573,-1366.0718759737001
90,0,330,-1388.2275467142,-1366.0684898396003
217,5,330,-1388.2271571907004,-1366.0683901389998
24,10,330,-1388.2257428219,-1366.0684132636002
260,15,330,-1388.2233701539003,-1366.0685073869
136,20,330,-1388.2200144296999,-1366.0686839237
293,25,330,-1388.2157022661997,-1366.06892493
187,30,330,-1388.2104806086,-1366.0691808798001
58,40,330,-1388.1972610038001,-1366.0697109613998
324,50,330,-1388.1804513117,-1366.0699519439
154,60,330,-1388.1602104616998,-1366.0691286099002
76,0,340,-1388.22824474,-1366.0661868313998
225,5,340,-1388.2278390555,-1366.0661006016
21,10,340,-1388.2263942041998,-1366.0661450277
267,15,340,-1388.2239740423997,-1366.0662750371002
109,20,340,-1388.2205528200002,-1366.0665037622998
289,25,340,-1388.2161563255002,-1366.0668104003
205,30,340,-1388.2108313038998,-1366.0671390119
54,40,340,-1388.1973692308004,-1366.0678043095998
340,50,340,-1388.1802986917996,-1366.0681581028002
162,60,340,-1388.1598088003002,-1366.0674182634998
98,0,350,-1388.2284418044,-1366.0645696654
235,5,350,-1388.2279950712998,-1366.0645385984
12,10,350,-1388.2264959938998,-1366.0646455105002
276,15,350,-1388.2240064122,-1366.0648408534
121,20,350,-1388.2204967070002,-1366.0651413817
299,25,350,-1388.2159888688998,-1366.0655322808002
214,30,350,-1388.2105262527002,-1366.0659602107999
61,40,350,-1388.1967175864,-1366.0668482681
332,50,350,-1388.1792301261,-1366.0674083132
165,60,350,-1388.1582809184001,-1366.0668547149999
