,Phi,Theta,E_deloc,E_nonbond,E_hyd,E_tot,E_meth,norm_E_meth,new_E_nb,new_E_deloc
15,25,30,1.0307317379001688,-2755.3349253697,-2755.33315682,-2754.3041936318,0.0017685497000456962,0.0001028520998715976,-2755.3332596721,1.029066040300222
47,30,30,1.0308483516000706,-2755.3295060511,-2755.3274544312,-2754.2986576995,0.0020516198999303015,0.0,-2755.3274544312,1.028796731699913
215,40,30,1.0305596323996724,-2755.3148254684997,-2755.31201708,-2754.2842658361,0.0028083884999432485,0.00010228619998997601,-2755.3121193662,1.0278535300999465
220,50,30,1.0303732570000648,-2755.2954536188,-2755.2905604887,-2754.2650803618,0.004893130100072085,0.00043668050011547166,-2755.2909971692,1.0259168074003355
110,60,30,1.0313950506997571,-2755.2718319375,-2755.2620254326,-2754.2404368868,0.009806504900097934,0.0009906395000598422,-2755.2630160721,1.0225791852999464
293,0,40,1.0292923862998578,-2755.3460266566,-2755.3446057478,-2754.3167342703,0.0014209087999006442,0.0016806195001208835,-2755.3462863673003,1.0295520970003054
262,5,40,1.0299406726003326,-2755.3461173983005,-2755.3444367788,-2754.3161767257,0.0016806195001208835,0.0023878515000888,-2755.3468246303,1.0306479045998458
172,10,40,1.030560214399884,-2755.3452613951,-2755.3432264401,-2754.3147011807,0.0020349549999991723,0.003017504500121504,-2755.3462439446002,1.0315427639002337
344,15,40,1.0310260295000262,-2755.3433101083,-2755.3409352089,-2754.3122840788,0.002374899399910646,0.0034620701001131238,-2755.344397279,1.0321132002000013
100,20,40,1.0313523402996907,-2755.3402651311,-2755.3375291504,-2754.3089127908,0.0027359806999811553,0.003717628600043099,-2755.341246779,1.0323339881997526
14,25,40,1.0315329504001056,-2755.3361035523003,-2755.3329633314,-2754.3045706019,0.0031402208999224968,0.0037766407001527114,-2755.3367399721,1.032169370199881
57,30,40,1.0315718860001653,-2755.3307785304,-2755.3271523199,-2754.2992066444,0.003626210499987792,0.003700497000181713,-2755.3308528169,1.0316461725001318
196,40,40,1.0311072948998117,-2755.3163490743,-2755.3114483003,-2754.2852417794,0.00490077399990696,0.0035212766001677664,-2755.3149695769002,1.0297277975000725
234,50,40,1.0307253607002167,-2755.2973324002,-2755.2895725771,-2754.2666070395,0.007759823100059293,0.00327907360019708,-2755.2928516507,1.026244611200127
126,60,40,1.0314770971003782,-2755.2741283137,-2755.2602403919,-2754.2426512166,0.013887921800005643,0.003001660800009631,-2755.2632420526998,1.0205908360999274
320,0,50,1.0305844184999842,-2755.3468975408,-2755.3449286298,-2754.3163131223,0.001968910999949003,0.0026963991001593968,-2755.3476250289004,1.031311906600422
265,5,50,1.0311535098003333,-2755.3469879387003,-2755.3446000872,-2754.3158344289,0.0023878515000888,0.0023995445001219196,-2755.3469996317,1.0311652027999116
177,10,50,1.0316865715999484,-2755.3461499738,-2755.3432584253,-2754.3144634022,0.0028915484999743057,0.0021107197001128952,-2755.3453691450004,1.0309057428003143
355,15,50,1.0320587565997812,-2755.3442357192,-2755.3408627608,-2754.3121769626,0.003372958399950221,0.0018751766001514625,-2755.3427379374,1.0305609748002098
94,20,50,1.0322827051004424,-2755.3412462835004,-2755.3373763792,-2754.3089635784,0.003869904300017879,0.001663366600041627,-2755.3390397458,1.0300761674002388
34,25,50,1.0323503853001057,-2755.3371586414,-2755.3327493992,-2754.3048082561,0.004409242199926666,0.0014765165001335845,-2755.3342259157002,1.0294176596003126
51,30,50,1.0322647322000194,-2755.3319298685,-2755.3268939736,-2754.2996651363,0.00503589489994738,0.0012894634000986116,-2755.328183437,1.0285183006999432
191,40,50,1.0315122015999805,-2755.3177816866,-2755.3111401818,-2754.286269485,0.0066415047999726085,0.001090708400170115,-2755.3122308902,1.025961405200178
236,50,50,1.030791942200267,-2755.29920674,-2755.2892275614,-2754.2684147978,0.00997917860013331,0.0008855639000557858,-2755.2901131253,1.0216983275004168
142,60,50,1.0311269856001672,-2755.2765784055,-2755.2597088666,-2754.2454514199,0.016869538899982217,0.0007045050001579511,-2755.2604133716,1.0149619517001156
314,0,60,1.03199315619986,-2755.3475982733,-2755.3451108708,-2754.3156051171,0.0024874025000372058,0.0006200852001256862,-2755.345730956,1.0301258388999486
258,5,60,1.0324771952004994,-2755.3476926414005,-2755.3446751369,-2754.3152154462,0.003017504500121504,0.0006363004001741501,-2755.3453114373006,1.030095991100552
168,10,60,1.0329213260997676,-2755.3468767857,-2755.3432629356,-2754.3139554596,0.0036138501000095857,0.000751786900082152,-2755.3440147225,1.0300592629000676
324,15,60,1.0332001676006257,-2755.3450048164004,-2755.3408354846,-2754.3118046488,0.004169331800085274,0.0008798694000233809,-2755.3417153540004,1.0299107052005638
75,20,60,1.0333226035995722,-2755.3420765852998,-2755.3373548243,-2754.3087539817,0.0047217609999279375,0.0009965344002011989,-2755.3383513587,1.0295973769998454
