Theta,Phi,Normed_Energy
170,10,-12.643754789605168
180,10,-12.856292464390776
190,10,-12.137696140337425
200,10,-10.890653968071092
210,10,-9.608493756492408
220,10,-8.551476055794183
230,10,-7.67043346521757
240,10,-6.929312517417884
250,10,-6.277248964702267
260,10,-5.840437816305553
270,10,-5.661821834805892
280,10,-5.811361057142449
290,10,-6.283292252844831
300,10,-7.019509782530918
310,10,-7.953038041964646
320,10,-8.931545330477661
330,10,-9.884751393592637
340,10,-10.69099654299282
350,10,-11.325603987545719
0,15,-11.486164025194967
10,15,-11.438530507237374
20,15,-10.893248529617722
30,15,-9.937755635582448
40,15,-8.778278328047804
50,15,-7.540408141033026
60,15,-6.455497037699388
70,15,-5.603735711132572
80,15,-5.125222322607442
90,15,-5.002209850769191
100,15,-5.223984458014343
110,15,-5.686162281318616
120,15,-6.295606426791437
130,15,-7.06217876303117
140,15,-8.071125948445683
150,15,-9.54827027458839
160,15,-11.249615722449334
170,15,-12.444220230788119
180,15,-12.522683140345293
190,15,-11.718722311855913
200,15,-10.514684335191305
210,15,-9.345638645181111
220,15,-8.392191618518837
230,15,-7.579782887431747
240,15,-6.873593420479892
250,15,-6.233891481274668
260,15,-5.789062524937663
270,15,-5.592546911881755
280,15,-5.716103622241576
290,15,-6.1608183720783245
300,15,-6.873099884662906
310,15,-7.782290081893166
320,15,-8.735125663574763
330,15,-9.665268197977866
340,15,-10.460062563322367
350,15,-11.1140156084806
0,20,-11.371349142793292
10,20,-11.37635854702637
20,20,-10.839168988205643
30,20,-9.83220391546729
40,20,-8.58979878349362
50,20,-7.277916106184875
60,20,-6.151700164335921
70,20,-5.296865047544998
80,20,-4.845764640823177
90,20,-4.759406287356683
100,20,-5.007422066034906
110,20,-5.469929582619557
120,20,-6.049021243140487
130,20,-6.768198326695369
140,20,-7.77011402267226
150,20,-9.337216846710362
160,20,-11.166606133795995
170,20,-12.318508717261011
180,20,-12.251291145445407
190,20,-11.363035589621632
200,20,-10.204353085098887
210,20,-9.145372285274334
220,20,-8.296977105321844
230,20,-7.559868701127357
240,20,-6.897578069513884
250,20,-6.274772939750505
260,20,-5.822714640254617
270,20,-5.603778193599055
280,20,-5.697652535886618
290,20,-6.106426268428663
300,20,-6.786569091820411
310,20,-7.665506264507485
320,20,-8.587152013336663
330,20,-9.49097380827925
340,20,-10.27159676125541
350,20,-10.944054293676459
0,25,-11.307126294762384
10,25,-11.380845361997444
20,25,-10.858760070218409
30,25,-9.798356644775026
40,25,-8.462519878068406
50,25,-7.067849938419727
60,25,-5.897002105066349
70,25,-5.0493020795235
80,25,-4.637980848682787
90,25,-4.603879248485896
100,25,-4.8902828275579395
110,25,-5.356920859262232
120,25,-5.898285486369787
130,25,-6.556951312340516
140,25,-7.546498868810886
150,25,-9.223880187378768
160,25,-11.194960127874765
170,25,-12.301535979319851
180,25,-12.046368355094842
190,25,-11.081238930800055
200,25,-9.969096572516492
210,25,-9.01866234222075
220,25,-8.277530915145803
230,25,-7.622960777842195
240,25,-7.013120486046432
250,25,-6.411993909446551
260,25,-5.953328254183248
270,25,-5.707068747754761
280,25,-5.765859626638189
290,25,-6.132223602717204
300,25,-6.77005010564676
310,25,-7.6108511090990305
320,25,-8.496542537526238
330,25,-9.372467541492028
340,25,-10.139584618198228
350,25,-10.831896849114514
0,30,-11.30504974205303
10,30,-11.449118403918078
20,30,-10.950011926961679
30,30,-9.832939544278702
40,30,-8.389190117623002
50,30,-6.896204452214874
60,30,-5.6744832094630056
70,30,-4.844245504256378
80,30,-4.490001425223227
90,30,-4.528301939010817
100,30,-4.866821207379985
110,30,-5.344113588807431
120,30,-5.842056601118088
130,30,-6.426149508484059
140,30,-7.39595776539943
150,30,-9.20339942308351
160,30,-11.358025871637324
170,30,-12.390715801499141
180,30,-11.920247517409848
190,30,-10.865676850925638
200,30,-9.799472794986286
210,30,-8.956399581575852
220,30,-8.325707793078891
230,30,-7.761387192348934
240,30,-7.211917721738587
250,30,-6.6372051953278515
260,30,-6.172804798101652
270,30,-5.894322892552054
280,30,-5.910658646109255
290,30,-6.228859674864793
300,30,-6.8145854861318185
310,30,-7.606349485043552
320,30,-8.450157950735502
330,30,-9.297102329956033
340,30,-10.054402342274784
350,30,-10.771345242686039
